name,values,default,days
hasAuction,true / false,true,
hasAwardingOrder,true,true,
hasValueRestriction,true,true,
valueCurrencyEquality,true,true,
hasPrequalification,false,false,
minBidsNumber,1,1,
hasPreSelectionAgreement,false,false,
hasTenderComplaints,true,true,
hasAwardComplaints,true,true,
hasCancellationComplaints,true,true,
hasValueEstimation,true,true,
hasQualificationComplaints,false,false,
tenderComplainRegulation,2,2,working
qualificationComplainDuration,0,0,
awardComplainDuration,4,4,
cancellationComplainDuration,10,10,
clarificationUntilDuration,3,3,working
qualificationDuration,0,0,
minTenderingDuration,6,6,working
hasEnquiries,false,false,
minEnquiriesDuration,0,0,
enquiryPeriodRegulation,3,3,working
restricted,false,false,
