procurementMethodType,values,default
aboveThreshold,false,false
competitiveOrdering,false,false
competitiveOrdering.short,false,false
competitiveOrdering.long,false,false
aboveThresholdEU,false,false
aboveThresholdUA.defense,false,false
aboveThresholdUA,false,false
belowThreshold,true,true
closeFrameworkAgreementSelectionUA,true,true
closeFrameworkAgreementUA,false,false
competitiveDialogueEU,false,false
competitiveDialogueEU.stage2,false,false
competitiveDialogueUA,false,false
competitiveDialogueUA.stage2,false,false
esco,false,false
negotiation,false,false
negotiation.quick,false,false
priceQuotation,false,false
reporting,false,false
simple.defense,false,false
requestForProposal,true,true
