rolename,status,participationUrl,documents,parameters,lotValues,subcontractingDetails,owner,owner_token,value,tenderers,date,requirementResponses,id,__parent__
auction_view,,1,,1,1,1,,,1,,1,,1,
Administrator,,,,,,,,,,1,,,,
active.qualification,1,1,1,1,1,1,,,1,1,1,,1,
complete,1,1,1,1,1,1,,,1,1,1,,1,
embedded,1,1,1,1,1,1,,,1,1,1,1,1,
default,1,1,1,1,1,1,1,1,1,1,1,1,1,
auction_patch,,1,,,1,,,,,,,,1,
active.awarded,1,1,1,1,1,1,,,1,1,1,,1,
active.enquiries,,,,,,,,,,,,,,
edit,1,,,1,1,1,,,1,1,,,,
auction_post,,,,,1,1,,,1,,1,,1,
active.auction,,,,,,,,,,,,,,
active.tendering,,,,,,,,,,,,,,
unsuccessful,1,1,1,1,1,1,,,1,1,1,,1,
cancelled,1,1,1,1,1,1,,,1,1,1,,1,
create,1,,1,1,1,1,,,1,1,,,,
view,1,1,1,1,1,1,,,1,1,1,1,1,
